District_name,Below_Primary_Education_Percent,Primary_Education_Percent,Middle_Education_Percent,Secondary_Education_Percent,Higher_Education_Percent,Graduate_Education_Percent,Other_Education_Percent
Dhamtari,25.01,25.96,20.99,11.39,10.29,5.47,0.89
Uttar Bastar Kanker,,,,,,,
Bastar,,27.24,21.23,9.29,8.75,,0.49
Narayanpur,31.65,29.88,,7.75,8.36,4.13,0.5
Dakshin Bastar Dantewada,26.2,25.51,18.12,10.89,11.05,7.32,0.9
Bijapur,20.4,33.99,11.8,14.24,10.19,0.26,1.85
Sheopur,31.88,24.84,15.08,13.0,8.67,5.99,
Morena,24.74,24.45,19.54,,9.91,6.08,0.71
Bhind,21.15,27.26,20.78,14.69,10.02,,0.84
Gwalior,18.8,18.82,16.35,15.41,13.3,15.47,1.85
Datia,,25.56,17.31,14.28,9.53,6.78,0.83
