District_name,Total_House_with_Car,Total_House_with_Bicycle,Total_House_with_Motorcycle
Korba,8677.0,162148.0,55579.0
Janjgir - Champa,3976.0,225754.0,42565.0
Kabeerdham,1496.0,96973.0,17444.0
Rajnandgaon,4613.0,225710.0,
Durg,28840.0,489008.0,177048.0
Raipur,30572.0,549069.0,
Mahasamund,3546.0,175231.0,31472.0
Dhamtari,3069.0,119931.0,30621.0
Uttar Bastar Kanker,1932.0,111429.0,
Bastar,4227.0,192012.0,32802.0
Narayanpur,196.0,14813.0,1976.0
Dakshin Bastar Dantewada,1827.0,32802.0,10771.0
Bijapur,12027.0,178825.0,70288.0
Sheopur,1634.0,32178.0,17878.0
Morena,5829.0,172169.0,48525.0
Bhind,4463.0,165675.0,46137.0
Gwalior,21313.0,194763.0,126189.0
Datia,2897.0,65191.0,25575.0
Shivpuri,5417.0,125237.0,48952.0
Tikamgarh,4139.0,153933.0,35388.0
Chhatarpur,6206.0,197839.0,48339.0
Panna,2219.0,96258.0,18488.0
Sagar,11291.0,174324.0,71201.0
Damoh,3031.0,,28333.0
Satna,9401.0,251079.0,
Rewa,11833.0,302445.0,67856.0
Umaria,1873.0,66004.0,14918.0
Neemuch,4498.0,84293.0,47549.0
Mandsaur,5435.0,123272.0,62695.0
Ratlam,5757.0,106605.0,67819.0
Ujjain,12167.0,163671.0,107407.0
Shajapur,4200.0,105728.0,49847.0
Dewas,9017.0,117794.0,77281.0
Dhar,,114497.0,85477.0
Indore,64865.0,318881.0,286973.0
Khargone (West Nimar),4992.0,87416.0,67290.0
Barwani,3102.0,51163.0,
Rajgarh,4185.0,85879.0,46026.0
Vidisha,5682.0,70884.0,55126.0
Bhopal,60383.0,159808.0,213130.0
Sehore,6041.0,82644.0,60435.0
Raisen,6017.0,64233.0,48130.0
Betul,,114524.0,
Harda,3556.0,29025.0,30952.0
Hoshangabad,7335.0,106654.0,67460.0
Katni,3958.0,133962.0,35359.0
Jabalpur,26487.0,271469.0,154678.0
Narsimhapur,4664.0,84570.0,39769.0
Dindori,1291.0,26743.0,7979.0
Mandla,2246.0,80798.0,19880.0
Chhindwara,8235.0,158956.0,75332.0
Seoni,4048.0,140883.0,37873.0
Balaghat,4045.0,252422.0,46168.0
Guna,5968.0,76571.0,43568.0
Ashoknagar,2373.0,43637.0,23638.0
Shahdol,3819.0,132313.0,29839.0
Anuppur,2895.0,84977.0,29063.0
Sidhi,3320.0,90963.0,18017.0
Singrauli,6599.0,102643.0,31059.0
Jhabua,2215.0,31319.0,20076.0
Alirajpur,1174.0,,9888.0
Khandwa (East Nimar),3697.0,69960.0,44522.0
Burhanpur,2142.0,37369.0,22453.0
Kachchh,28788.0,83904.0,140540.0
Banas Kantha,22723.0,75914.0,68665.0
Patan,7802.0,66270.0,41235.0
Mahesana,25163.0,143818.0,119579.0
Sabar Kantha,22379.0,112045.0,122399.0
Gandhinagar,26385.0,121735.0,106981.0
Ahmadabad,174812.0,680535.0,692591.0
Surendranagar,10088.0,135074.0,99436.0
Rajkot,55289.0,355586.0,428744.0
Jamnagar,20471.0,157250.0,185194.0
Porbandar,4395.0,40784.0,45156.0
Junagadh,17447.0,189600.0,195597.0
Amreli,10236.0,96477.0,113906.0
Bhavnagar,17517.0,238912.0,200864.0
Anand,19352.0,172466.0,104613.0
Kheda,12788.0,146364.0,84414.0
Panch Mahals,9656.0,120545.0,72703.0
Dohad,5222.0,61360.0,40551.0
Vadodara,72630.0,399901.0,351423.0
Narmada,2442.0,29316.0,18771.0
Bharuch,21579.0,,104126.0
The Dangs,991.0,6914.0,5662.0
Navsari,18669.0,136665.0,115177.0
Valsad,23938.0,119338.0,128491.0
Surat,106983.0,397563.0,530528.0
Tapi,5534.0,56290.0,41058.0
Diu,398.0,3739.0,4820.0
Daman,3163.0,14642.0,14167.0
Dadra AND Nagar Haveli,4136.0,17822.0,18647.0
Nandurbar,6135.0,40529.0,39350.0
Dhule,10912.0,107616.0,74859.0
Jalgaon,19560.0,229955.0,170551.0
Buldana,10034.0,121784.0,84546.0
Akola,9037.0,126856.0,72460.0
Washim,3623.0,66675.0,37729.0
Amravati,15285.0,211384.0,124261.0
Wardha,6970.0,129060.0,
Nagpur,71592.0,577214.0,426007.0
Bhandara,5184.0,182892.0,54974.0
Gondiya,5074.0,200918.0,49085.0
Gadchiroli,3098.0,130592.0,29827.0
Chandrapur,12746.0,248585.0,113039.0
Yavatmal,12132.0,168661.0,99346.0
Nanded,12341.0,109371.0,83106.0
Hingoli,3833.0,48246.0,29815.0
Parbhani,6973.0,82350.0,50197.0
Jalna,8400.0,84022.0,75655.0
Nashik,79590.0,400486.0,396040.0
Thane,172210.0,403936.0,499186.0
Mumbai Suburban,259702.0,233596.0,310929.0
Mumbai,80168.0,56086.0,105842.0
Pune,273326.0,735590.0,1013058.0
Ahmadnagar,41423.0,443393.0,320361.0
Bid,12836.0,119991.0,91909.0
Latur,13150.0,108626.0,81052.0
Osmanabad,7974.0,93061.0,51577.0
