District_Name,Percentage_Size_1_HH,Percentage_Size_2_HH,Percentage_Size_3_HH,Percentage_Size_4_HH,Percentage_Size_5_HH,Percentage_Size_6_8_HH,Percentage_9_Above_HH
Champhai,5.7,8.36,12.63,17.24,18.91,30.82,6.34
Serchhip,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lunglei,5.16,8.51,12.29,17.73,20.77,30.14,5.38
Lawngtlai,3.06,7.76,13.43,17.66,18.36,33.37,6.36
Saiha,3.73,7.65,11.72,15.83,18.22,34.9,7.94
West Tripura,3.0,9.01,22.91,29.74,18.0,15.69,1.66
South Tripura,3.4,9.22,22.43,29.06,18.24,16.5,1.15
Dhalai,3.2,8.9,18.88,26.18,19.81,21.12,1.92
North Tripura,3.12,8.87,17.61,24.55,19.82,23.25,2.77
West Garo Hills,2.74,7.69,13.53,17.38,17.13,33.83,7.7
East Garo Hills,1.67,6.96,12.73,16.54,16.66,35.87,9.56
South Garo Hills,2.78,6.38,10.65,14.45,15.62,36.88,13.23
West Khasi Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ribhoi,3.87,6.59,11.6,15.34,15.81,35.42,11.37
East Khasi Hills,5.49,9.09,13.96,17.65,16.21,29.11,8.5
Jaintia Hills,3.33,5.57,9.54,12.96,14.41,38.06,16.13
Kokrajhar,2.56,7.26,14.85,22.27,20.01,28.07,4.99
Dhubri,4.41,10.62,16.33,20.29,17.88,25.79,4.68
Goalpara,2.57,7.01,14.5,21.28,19.09,28.76,6.8
Barpeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morigaon,2.22,7.13,13.83,20.46,18.79,29.49,8.08
Nagaon,2.58,7.8,14.58,20.82,18.54,28.66,7.02
Sonitpur,2.65,7.16,14.86,22.36,19.63,27.92,5.42
Lakhimpur,2.19,5.62,12.98,22.63,20.32,29.21,7.04
Dhemaji,1.75,4.66,11.26,20.86,21.45,32.36,7.68
Tinsukia,3.42,7.58,13.62,21.27,20.06,28.37,5.68
Dibrugarh,2.82,7.48,14.77,23.84,20.45,26.0,4.65
Sivasagar,3.14,7.83,16.35,24.8,19.87,23.74,4.26
Jorhat,3.09,7.76,16.57,25.72,19.73,22.76,4.37
Golaghat,2.67,7.17,16.16,24.75,20.18,24.85,4.22
Karbi Anglong,2.68,6.03,11.91,18.45,18.85,33.49,8.6
Dima Hasao,5.42,7.51,13.48,19.09,17.75,29.98,6.78
Cachar,4.37,11.1,16.59,20.77,18.02,25.36,3.79
Karimganj,4.88,10.29,14.23,17.51,16.51,29.26,7.31
Hailakandi,6.02,11.79,15.57,18.65,17.0,26.49,4.48
Bongaigaon,3.19,7.29,15.62,22.95,18.54,26.01,6.4
Chirang,2.47,7.04,14.74,21.48,19.94,28.82,5.51
Kamrup,2.11,5.81,13.3,24.68,22.36,26.18,5.54
Kamrup Metropolitan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nalbari,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baksa,1.93,5.93,12.89,23.72,22.08,27.66,5.8
Darrang,3.06,7.26,15.12,22.84,18.85,26.96,5.91
Udalguri,2.32,6.79,13.83,22.67,21.22,27.83,5.33
Darjiling,3.38,8.43,17.76,24.95,18.89,22.45,4.14
Jalpaiguri,3.18,8.54,17.17,26.12,21.09,21.24,2.66
Koch Bihar,3.95,9.97,17.93,28.34,20.65,17.43,1.72
Uttar Dinajpur,2.46,7.87,13.69,21.12,19.84,29.96,5.05
Dakshin Dinajpur,3.35,9.76,19.72,29.05,19.6,16.6,1.91
Maldah,3.1,9.12,15.35,23.11,20.26,24.99,4.07
Murshidabad,3.77,10.21,16.76,25.36,19.58,20.55,3.78
Birbhum,4.08,10.85,18.69,27.48,18.73,17.49,2.68
Barddhaman,3.7,9.44,19.07,27.66,17.77,17.78,4.58
Nadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Twenty Four Parganas,3.32,10.65,23.75,27.35,16.58,15.65,2.71
Hugli,3.98,10.33,21.55,27.86,16.56,15.6,4.11
Bankura,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puruliya,3.38,7.38,12.05,22.01,20.03,26.59,8.55
Haora,3.32,8.97,20.74,26.31,17.04,18.77,4.85
Kolkata,5.2,12.56,23.64,23.25,14.4,16.4,4.56
South Twenty Four Parganas,2.42,8.2,19.37,26.5,18.51,20.84,4.16
Paschim Medinipur,3.19,8.21,17.1,29.16,19.01,18.95,4.38
Purba Medinipur,2.79,7.88,17.48,29.17,19.15,18.81,4.72
Garhwa,1.99,10.6,10.33,15.74,20.05,34.73,6.57
Chatra,1.89,7.51,8.56,14.11,18.86,37.84,11.22
Kodarma,1.99,5.05,7.11,13.11,19.02,37.62,16.1
Giridih,1.41,5.63,7.6,13.76,18.58,37.31,15.7
Deoghar,1.66,7.06,9.94,17.9,19.11,32.92,11.42
Godda,2.5,9.46,12.0,18.21,19.19,31.7,6.94
Sahibganj,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dhanbad,3.02,6.67,10.79,19.87,20.35,30.79,8.53
Bokaro,2.64,7.4,10.71,20.01,21.32,30.54,7.38
Lohardaga,2.82,7.7,10.55,16.19,18.81,35.91,8.01
Purbi Singhbhum,3.54,8.73,14.71,23.7,19.21,24.16,5.95
Palamu,1.81,8.81,9.94,15.92,20.02,35.17,8.33
Latehar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hazaribagh,1.93,6.43,8.17,15.57,21.06,35.58,11.25
Ramgarh,3.25,6.85,9.96,18.7,21.68,32.09,7.48
Dumka,3.19,10.39,13.98,20.57,19.36,28.07,4.43
Jamtara,2.6,8.42,12.55,20.33,18.36,29.12,8.61
Ranchi,2.76,7.36,11.79,20.44,20.57,30.14,6.94
Khunti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gumla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simdega,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pashchimi Singhbhum,4.31,9.54,13.3,18.0,17.54,30.84,6.47
Saraikela-Kharsawan,3.52,9.34,14.14,21.88,19.29,26.48,5.36
Bargarh,5.01,15.66,19.65,24.9,17.56,15.82,1.4
Jharsuguda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sambalpur,5.1,13.2,18.45,24.72,18.15,18.4,1.98
Debagarh,4.63,13.35,18.35,24.08,17.8,18.76,3.03
Sundargarh,4.67,11.69,17.2,23.42,18.16,21.68,3.19
Kendujhar,3.53,10.35,16.3,24.19,19.72,23.41,2.51
Mayurbhanj,5.48,12.13,16.68,23.26,18.14,21.53,2.79
Baleshwar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhadrak,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendrapara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jagatsinghapur,3.65,9.03,16.05,26.28,20.63,20.19,4.17
Cuttack,3.31,9.45,17.01,26.32,19.92,19.65,4.33
Jajapur,3.25,9.66,15.88,23.79,20.53,22.77,4.11
Dhenkanal,3.28,12.17,17.64,25.93,19.93,18.85,2.2
Anugul,3.68,11.74,17.84,26.25,18.83,19.2,2.45
Nayagarh,3.0,11.72,17.84,27.63,19.91,17.38,2.52
Khordha,3.69,9.1,17.29,26.27,19.08,19.81,4.76
Puri,2.43,8.07,15.7,25.74,21.31,22.14,4.6
Ganjam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gajapati,5.14,11.24,14.25,20.77,18.8,25.6,4.21
Kandhamal,5.51,14.02,16.9,19.55,17.18,24.09,2.74
Baudh,4.74,15.8,18.84,22.04,18.02,19.37,1.2
Subarnapur,4.51,15.3,19.57,23.57,18.37,17.53,1.17
Balangir,4.39,16.75,19.75,23.37,17.56,16.72,1.45
Nuapada,4.19,16.91,18.88,21.97,17.95,18.72,1.37
Kalahandi,4.86,18.54,19.95,22.02,17.01,16.54,1.08
Rayagada,6.16,13.91,16.34,20.85,17.84,22.31,2.58
